Unnamed: 0,CoFactor,CoFactorC,DTT,Inhibitor,NTPs,Plasmid,Ppase,Spermidine,T7,Temperature,Time,Tris-Hcl,Eval,Concentration
42,MgAcetate,45.51929219,5.392239587,1129,7.53924336,63,8,2.168548171,7476,42,73,7.034497303,7823.387,4.533528354
43,MgAcetate,67.11848673,6.79094861,837,8.749657458,63,2,1.918611683,6868,42,230,7.02475358,10125.125,5.827148317
44,MgAcetate,47.28856002,6.075655016,1049,9.992326981,89,2,1.285751526,7891,44,102,6.668804724,8605.27,4.972961277
45,MgAcetate,40.00375194,4.40745181,1056,8.879497568,89,10,2.508952204,6627,44,79,6.6608926,12689.928,7.268615748
46,MgAcetate,69.85566255,4.547519746,1698,9.319200176,89,10,1.333759267,6955,44,170,6.662011905,12323.928,7.062916877
47,MgAcetate,66.07618832,4.150350692,1973,8.035836886,61,8,1.695702619,7604,43,174,6.906266694,14030.919,8.022277862
48,MgAcetate,56.53995377,2.990154024,969,7.248673807,89,7,2.7,7290,43,300,6.643120571,12027.149,6.896121508
49,MgAcetate,62.06800005,8.026900814,869,9.916348585,61,3,2.7,6575,43,300,6.876101826,16775.259,9.564648457
50,MgAcetate,67.21937828,9.935157906,1886,8.470817337,62,9,2.7,7794,39,300,6.88275326,12604.548,7.220630585
51,MgAcetate,41.40967429,9.147972905,848,8.885818211,84,6,2.7,6611,41,300,6.649240391,21050.62,11.96748159
52,MgAcetate,59.72672975,2.293486382,1317,8.199318903,61,8,2.640441264,6230,43,122,6.903822522,5545.272,3.25318496
53,MgAcetate,49.27655978,5.268744906,1474,7.74786124,89,8,2.246562209,7743,44,121,6.667269606,21764.269,12.36856573
54,MgAcetate,61.91163883,8.061724408,1071,8.899237371,61,8,2.61548536,6655,43,136,6.885580455,13280.107,7.600307424
55,MgAcetate,49.07539678,3.678449135,1107,8.532924985,61,5,2.545245116,7448,43,127,6.894650936,21490.979,12.21497162
56,MgAcetate,55.76625419,6.599254253,885,7.335545881,61,5,2.337019831,6079,43,128,6.897673225,13575.661,7.76641432
57,MgAcetate,48.8811246,2.22490796,1303,7.012381626,60,5,1.990585287,7535,43,131,6.8879165,16147.496,9.211833867
58,MgAcetate,66.05826246,2.701998666,1775,8.168842359,69,5,2.657374523,6254,38,79,6.893141891,5769.254,3.379067049
59,MgAcetate,43.36496204,9.409017595,836,9.874817154,63,5,1.073908404,6078,37,60,6.893124967,6171.092,3.604907548
60,MgAcetate,41.78813961,5.567399183,1217,9.888835362,89,5,2.241314266,6607,44,120,6.652412429,20973.561,11.92417299
